R,G,B,H,S,V,Pixel,Berat,Class,Lebar
172,74,28,110,233,174,23865,35,Setengah matang,0.960649019
130,54,16,110,239,128,15186,35,Setengah matang,1.0248511393
135,66,16,107,240,132,18462,35,Setengah matang,0.9642240844
134,65,16,107,242,130,15408,35,Setengah matang,0.9814266615
165,76,21,108,238,166,19128,35,Setengah matang,0.9703074808
151,62,21,110,235,154,19548,35,Setengah matang,0.8832537017
148,68,15,108,242,150,11937,30,belum matang,0.8754702481
160,73,18,108,239,162,13809,30,belum matang,0.8974337474
154,72,19,108,239,155,12615,30,belum matang,0.9988390406
171,88,23,107,236,171,15144,30,belum matang,0.955
166,100,22,102,238,164,13515,30,belum matang,0.9869262865
130,80,13,101,244,128,9624,30,belum matang,0.9620728759
173,99,22,104,236,174,14817,30,belum matang,0.9158205128
171,82,22,108,239,171,13329,30,belum matang,1.0795877898
178,78,28,109,231,178,15942,30,belum matang,1.016655886
168,73,22,110,235,168,17082,30,belum matang,1.0956589147
146,63,16,109,240,143,13146,30,belum matang,0.955
211,100,32,108,223,211,21375,30,belum matang,1.1455845591
129,56,16,109,240,129,10947,30,belum matang,0.9347515443
139,68,17,107,237,142,15333,30,belum matang,1.0505
175,90,24,107,234,177,14232,30,belum matang,1.0944294876
148,68,18,108,238,149,19074,52,Setengah matang,1.063927547
137,59,15,109,240,136,19527,52,Setengah matang,1.0176040947
122,55,14,108,241,115,16572,52,Setengah matang,1.0099438923
134,71,19,106,238,128,17763,52,Setengah matang,0.9460649153
139,63,17,108,237,135,20958,52,Setengah matang,0.966774071
116,45,15,111,240,112,15867,52,Setengah matang,1.0137348535
125,59,16,108,241,119,16560,52,Setengah matang,0.955
169,90,27,106,232,170,21369,52,Setengah matang,0.9074032356
165,84,25,107,236,166,19188,52,Setengah matang,0.9458690639
156,68,26,110,231,158,18933,52,Setengah matang,1.0490758967
157,64,24,111,235,160,18699,52,Setengah matang,1.0098949315
137,72,22,106,236,129,16020,52,Setengah matang,1.0377730261
167,86,24,107,236,168,18519,52,Setengah matang,0.9588260997
140,61,17,109,239,139,17937,52,Setengah matang,0.923480898
141,54,19,111,237,138,19440,52,Setengah matang,1.0917312127
126,47,23,113,232,119,21147,45,Setengah matang,0.9864007303
125,43,16,113,234,118,21180,45,Setengah matang,0.9367844551
131,48,20,113,233,128,20046,45,Setengah matang,0.9377762744
141,56,25,112,230,139,20040,45,Setengah matang,0.930859831
136,50,20,112,235,134,21771,45,Setengah matang,0.9567306637
164,65,33,112,220,167,25044,45,Setengah matang,1.0214873418
181,68,34,112,223,182,28038,45,Setengah matang,0.9847655044
175,63,29,113,229,176,23838,45,Setengah matang,0.9570865664
145,49,22,113,234,145,20085,45,Setengah matang,0.8781909247
164,61,32,113,225,165,23193,45,Setengah matang,0.96096875
172,68,35,112,220,175,26325,45,Setengah matang,0.9309178327
120,42,20,114,234,112,19464,45,Setengah matang,0.9066512417
110,34,15,114,236,105,21321,45,Setengah matang,0.9636551354
116,38,18,114,237,113,17313,45,Setengah matang,1.0539787401
110,35,17,114,239,108,15990,45,Setengah matang,1.0557205642
114,40,17,113,236,111,20202,62,Setengah matang,0.9095581546
144,59,34,113,221,140,24120,62,Setengah matang,0.955
149,54,25,113,230,147,23010,62,Setengah matang,0.8673597536
169,65,29,112,231,170,25278,62,Setengah matang,0.9895923442
175,70,29,111,229,178,26061,62,Setengah matang,1.0061649483
129,46,24,114,233,119,20811,62,Setengah matang,0.984639428
160,56,26,113,231,160,22506,62,Setengah matang,1.0227527221
152,52,21,113,235,153,22353,62,Setengah matang,0.9231590547
169,60,25,113,231,169,25422,62,Setengah matang,0.9468665315
128,43,20,114,233,120,21909,62,Setengah matang,0.982109089
151,52,22,113,235,153,20265,62,Setengah matang,0.8885956661
111,35,15,114,239,108,16602,62,Setengah matang,1.0451080658
128,44,16,113,237,124,21195,62,Setengah matang,0.9317073171
133,50,18,112,238,130,19911,62,Setengah matang,0.942777218
141,50,20,112,235,143,22848,62,Setengah matang,1.0021869291
107,60,7,103,248,104,8103,26,belum matang,0.9483259881
158,88,18,104,239,158,12807,26,belum matang,0.9340061209
171,94,21,105,237,175,13692,26,belum matang,0.9149556606
169,101,21,103,240,172,12789,26,belum matang,0.9193921523
163,105,19,101,242,165,12123,26,belum matang,0.9771046487
177,111,21,101,239,178,14769,26,belum matang,0.9453045685
144,70,18,107,242,146,11124,26,belum matang,0.912404329
188,101,30,105,234,187,14310,26,belum matang,0.8911338235
169,77,23,109,232,169,17412,26,belum matang,0.9441441968
173,86,24,107,237,173,14289,26,belum matang,0.9088810829
134,54,14,110,242,132,11271,26,belum matang,0.9616535929
176,91,26,107,236,177,14547,26,belum matang,1.0669140625
170,93,21,105,243,171,11292,26,belum matang,1.1365289256
163,100,19,102,242,165,11964,26,belum matang,0.8974120603
173,105,23,102,241,174,12348,26,belum matang,0.969916249
122,59,12,107,243,118,15792,40,Setengah matang,0.8815384615
152,85,17,104,239,152,18783,40,Setengah matang,0.948034033
160,96,21,103,238,159,19641,40,Setengah matang,0.9346723887
122,66,12,104,246,118,13107,40,Setengah matang,0.9438365949
125,64,14,106,241,120,15591,40,Setengah matang,0.9641963945
139,70,17,107,238,137,18222,40,Setengah matang,0.8701870915
186,91,30,108,229,187,25080,40,Setengah matang,0.9090062013
173,84,26,108,235,172,23283,40,Setengah matang,0.9428872213
160,71,22,109,234,162,21150,40,Setengah matang,0.8916396493
163,71,23,109,234,163,21984,40,Setengah matang,1.004212118
202,102,34,107,226,203,29706,40,Setengah matang,0.8936311032
182,89,28,108,230,183,24486,40,Setengah matang,0.9401797187
203,100,35,108,224,203,29751,40,Setengah matang,1.0190386602
110,44,12,110,242,111,13779,40,Setengah matang,0.9698624328
160,89,23,105,237,162,19707,40,Setengah matang,0.929538191
121,70,14,104,241,118,14460,36,belum matang,1.0001689189
173,107,24,103,234,175,21186,36,belum matang,0.9894099532
133,91,13,100,244,129,12615,36,belum matang,1.0222980445
133,84,13,102,242,131,12417,36,belum matang,1.0081583239
154,94,21,103,236,155,17259,36,belum matang,1.0520109738
